id,title,author,pages,year,genre_inferred,genre,status,notes
b0001,"Never Coming Back (David Raker, #4)",Tim Weaver,384,2014,other,,active,
b0002,Lord of the Mysteries Volume 1,Ai Qianshui de Wuzei,1165,2021,sci_fi,,active,
b0003,"The Honjin Murders (Detective Kosuke Kindaichi, #1)",Seishi Yokomizo,189,2019,crime_mystery,,active,
b0004,"The Dungeon Anarchist's Cookbook (Dungeon Crawler Carl, #3)",Matt Dinniman,534,2021,other,,active,
b0005,Everything You Need to Ace Computer Science and Coding in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),Grant Smith,576,2020,nonfiction,,active,
b0006,"The Complete Stories, Vol. 1",Isaac Asimov,977,2023,other,,active,
b0007,"The Complete Stories, Volume 2",Isaac Asimov,550,1992,other,,active,
b0008,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,334,2006,other,,active,
b0009,The Second World,Jake Korell,,2026,other,,active,
b0010,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,720,2025,nonfiction,,active,
b0011,"Babylon’s Ashes (The Expanse, #6)",James S.A. Corey,532,2016,other,,active,
b0012,I Think We've Been Here Before,Suzy Krause,317,2024,other,,active,
b0013,"Black Sun (Between Earth and Sky, #1)",Rebecca Roanhorse,454,2020,other,,active,
b0014,The Vanished Ones,Donato Carrisi,,2015,other,,active,
b0015,Cloud Atlas,David  Mitchell,544,2014,other,,active,
b0016,"The Book of the Dead (Pendergast, #7; Diogenes, #3)",Douglas Preston,454,2006,other,,active,
b0017,"Dance of Death (Pendergast, #6; Diogenes, #2)",Douglas Preston,560,2006,other,,active,
b0018,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,320,2025,other,,active,
b0019,The City & The City,China Miéville,373,2011,other,,active,
b0020,Burning Chrome,William Gibson,204,2017,other,,active,
b0021,H.G. Wells: Six Novels,H.G. Wells,639,2012,other,,active,
b0022,Jules Verne - Four Novels: Five Weeks in a Balloon/A Journey to the Center of the Earth/Twenty Thousand Leagues Under the Sea/Around the World in Eighty Days,Jules Verne,691,2012,other,,active,
b0023,When the Moon Hits Your Eye,John Scalzi,326,2025,other,,active,
b0024,Alien: The Cold Forge,Alex White,432,2018,sci_fi,,active,
b0025,"Lord of Mysteries, Vol. 1: The Clown, Part I",Cuttlefish That Loves Diving,580,2025,other,,active,
b0026,"Voices of the Dead (Raven, Fisher, and Simpson #4)",Ambrose Parry,416,2023,other,,active,
b0027,"I, Robot",Isaac Asimov,304,2004,sci_fi,,active,
b0028,"Mostly Void, Partially Stars (Welcome to Night Vale Episodes, #1)",Joseph Fink,304,2016,sci_fi,,active,
b0029,The Invisible Man,H.G. Wells,192,2002,other,,active,
b0030,The Dead Zone by Stephen King (2016-04-12),Stephen  King,0,,other,,active,
b0031,"Black Pill: How I Witnessed the Darkest Corners of the Internet Come to Life, Poison Society, and Capture American Politics",Elle Reeve,304,2024,other,,active,
b0032,Midnight Timetable: A Novel in Ghost Stories,Bora Chung,208,2025,sci_fi,,active,
